Response,Score
"I guess my biggest frustration is to think some of these communities will never get to be real, get to be together under the same roof in real-time.
 Nowadays, with Slack communities (for example) growing rapidly in member numbers, is most likely to happen that all these people will never get the chance to meet, or perhaps, if the community get together, due to the high number of visitors, have a hard chance to meet them all, socialize with them all.
 This without mentioning the speed how information travels on internet communities, making sometimes hard to grab key information, or stay in close contact to how a topic unfolds.",1.5
"The lack of physical cues sometimes can be frustrating, as without face expressions and body gestures there is a big risk of misunderstanding. This problem is not present with live interaction, that's why I prefer it.",1.5
"I am not part of any digital community. But I can say that during lockdown we had to connect virtually with SACS members and, although it provided us a means of communicating during times when we could not meet personally, I felt that we could not connect in the same way. We didn't have the activities we used to enjoy (and I don't mean just events or outings, even when we met for packing and sorting we would have a great time), board meetings were virtual of course, and the dynamics of virtual meetings (zoom, etc) is not the same. We did manage to stay together and to stay alive during the pandemic, donating and helping communities. But it has not been, at least for me, an experience I would enjoy repeating.",2
"My manifesto would maybe focus on behavior:
 - Contribute __¡° add to the dialogue, join the discussion, get involved! This is not the place for lurking. Hear and be heard!
 - Stay calm __¡° this is not the place to vent frustrations or take your anger out on others, we are all here for common goals, and no one is looking for a bad time. Keep it light. 
 - Connect amongst yourselves __¡° this is the key, and this is what makes groups work! Pulling people in from your own personal network, sharing with your friends, meeting new people, learning from each other. 
 - Keep this a useful space __¡° either it is fun and entertaining or its highly informational
 - No such thing as a dumb question __¡° communities are a resource for a reason!",2
"1. Make this a safe space. A community is a shared experience, and should be a safe experience as well. We only promote kindness and empathy here- bring the best of who you are to this space. Be accepting, understanding and withhold judgement. 
 
 2. Be an active participant. Even if it takes a beat, or it takes some encouragement, your community is a reflection of you and what you give to it as well. Your community can only serve you well if you contribute to it. And never be afraid to get over that initial curve and let the community know what you need in order to be there and make the space better. Remember that you matter and that your presence in your community matters as well! 
 
 3. Better your life through this community, but also help this community better others' lives. When participating, think about how you can enrich your own life through your community experiences and then try to give that back to others as well. Whether you are posting opportunities for others, life advice you want to share, or simply sharing words of encouragement, always make it a point to give back what you get!
 
 4. Bring your ideas to the table! A community is again, a culmination of the people in it and is driven by the participation and minds of the members. In this community, we bring our good ideas forward and we help build the future of what this community looks like. Always feel free to contribute your thoughts and ideas- this is a place to have conversations, whether big or small! We encourage your to share your ideas, meet other members and do what you need to do to make this space yours.",2.5
"I did try before, and it is something I would still believe in: Making small, functional groups out of large-size communities. And eventually, at some point, switch members until the point everyone has the chance to know the others.
 The manifesto would start with a line like:
 - Today you are one, tomorrow you are twenty, the day after you are everyone.
 The purpose of the community (and each individual core mission) is for each one of us to know everyone. And start growing from there.",3
"What we Believe:
 1. We believe in the power of being united in a community.
 2. We believe in leading a purposeful and joyful life is everyone's right.
 3. We believe that growth is exponential when shared in a group.
 4. We believe that everyone can lock his/her full potential when given the right tactics and guidance.
 What we do:
 1. We build stronger communities.
 2. We listen, then we act based on what people have to say.
 3. We put back into the community that we work with.
 4. We help you grow and find purpose.
 5. We help shape the world we live in.
 How we work:
 1. We believe in balance in different life sectors.
 2. We strive to be fair in all our calls.
 3. We think failure is essential, we embrace it, and we know how to build on it a stronger foundation.
 4. We love risk, as it take us forward.
 5. Ethics are at our core.
 6. Creativity and passion are our fuel.",3
"Resonate with our mission or purpose.
 Each of us shines in a different way. Diversity is enriching. This community is a safe place to show your light. 
 Enjoy the ride. 
 Your opinion matters. 
 Teamwork works wonders. Collaboration, brainstorming and supporting each other is what we do.",2
"I really couldn__t live without your basic sliced cheese. I__m an avid sandwich eater, so breakfast sandwiches and lunch/dinner sandwiches would be pretty BLAH without a good ol__ slab o__ cheese. My go-to is aged sharp white cheddar.",2
"It would have to be parmigiano reggiano. It is the number 1 cheese I go through so quickly, probably needed a new chunk of it every week. It is the perfect cheese to go with everything. You can add it to pasta, salad, chicken, charcuterie, etc. It can be grated or shaved, whichever is needed for the meal.",2.5
"I'd say Extra Sharp Cheddar. I always have snack-sized cheese bars in my fridge by Cabot for snacking and using with meals. It's such a versatile flavor in that it tastes delicious across many cuisines- Mexican, Italian, French, but its flavor is pungent and remarkable enough to enjoy on its own as well.",2.5
"I couldn__t live with out pepper Jack followed closely by mozzarella. I prefer my pepper Jack in slices to put on burgers, deli sandwiches and as a grilling cheese. Mozzarella is one for all my Italian cuisine choices and also in my omelet along side feta. The brands I have been using as of the last few years has been Trader Joe__s store brand. I like the creamy taste of their cheeses and I also like that their cows aren__t treated with rSBT.",3
"string cheese: very easy to eat as a snack and I do eat this regularly. For guilty pleasures: I love a good Brie cheese. Imagine a soft, warm brie accompanied by fig marmalade and a soft warm bread",3
"The last time I ate cheese.... I remember it like it was 4 hours ago. Oh yeah, it was 4 hours ago! I had my favorite breakfast, bacon egg and cheese on an everything bagel. I was unusually lazy today and picked this tastiness up from my local deli.",2
The last time I had cheese was last night for dinner (7:30pm) with my salad. I love making Greek salads and feta is the perfect cheese for this meal. I make this sale frequently for my fiance.,1.5
"It's a very chilly, raw day here in NYC. I just got back from errands and decided to forgo the salad I had for lunch in lieu of something warm and comforting. I had marinated some chicken breasts earlier this week. I decided to bake one of them with some mozzarella and put it in a toasted wrap with some tomato sauce. It instantly made me feel comforted, warm, serene and got rid of the chill in my bones. I consumed this today at 2pm EST and I did so, alone.",3
"I__m in the kitchen boiling up my lasagna noodles. The date is two weeks ago and I__m getting my Chef Boyardee on, hat and all. It__s just me cooking but my son is sous chef and he__s watching me put the lasagna together. The most important part aside from the meat sauce and the way I season it, is the cheese. I put a layer of ricotta on the first layer of the meat followed by a full layer of shredded Trader Joe__s mozzarella. The top layer is a sharp cheddar and mozzarella mix to give it that gooey overdrip and that creamy mozzarella taste on top. This was a dinner for the day so it was about 6pm when I finished but I started cooking at 4pm.",3
"Last weekend NYC - winter / cold weather at a restaurant. Dinner date with my husband so we are dressed up and enjoying delicious food with a good cocktail. I ordered a pasta with wild boar ragu and the waiter ""snowed"" the most delicious cheese on top. You can see it falling like real snow coating the whole plate. It was s delicious combination.",2.5
"ALL THE CHEESE. For sliced/shredded cheese I do store brand or Kraft. For snacking I get Babybel and Boursin. For macaroni and cheese I get Velveeta or Annie__s. This is all my usual suspects, but I will literally eat any and all cheese in any form.",2
"The cheese I am eating with the Greek salad is feta. The feta I use is Bulgarian, so it is super creamy, delicate, and has a rich flavor. The brand is from Wholefoods and comes in tuberware filled with water. It is authentic and fresh.",3
It was Mozzarella which I sliced from a block and melted in the wrap with the chicken and tomato sauce. It was from Galbani.,2.5
"Trader Joe__s shredded mozzarella, Trader Joe__s shredded sharp cheese and another pack of Trader Joe__s Mozzarella.",1.5
Parmesan cheese on top of my pasta. The waiter grater the cheese on top of my pasta falling like perfect snow. I don't know the brand... but the flavor combined with the pasta and sauce was delicious,2
"I mostly add slices to sandwiches, but sometimes tear them apart for snacking too. Shreds go on certain dishes.",2
"The feta is crumbled over the Greek salad. Since the feta is super delicate and creamy, it cannot be cut into cubes and needs to be crumbled over the salad.",2.5
I toasted it in a wrap to melt it with tomato sauce and marinated chicken.,2
"Well the shredded cheese is used on our pizza, spaghetti, lasagna and my eggs in the morning. Any pepper Jack cheese is used is sliced for my cold sandwiches, turkey burgers and/or grilled cheese.",2.5
"grated on top of the pasta, mixing it with the sauce",1.5
"Comforting, familiar, satisfying. As per my day of running errands in very chilly temperatures, this food warmed my body and soul. I feel renewed and ready to continue working.",2.5
"The three words I would use to describe this experience is special, comforting, and filled with love. This salad is something me and fiance love to have together so it has become something special that we have as a new family. Also, it is comforting and filled with love because it now reminds me of home.",3
"Comforting, familiar, satisfying. As per my day of running errands in very chilly temperatures, this food warmed my body and soul. I feel renewed and ready to continue working.",3
"Experimental, engaging and enriching. 
 
 Experimental- I try to incorporate different cheese flavors into the dishes I cook as either a secondary flavor or sometimes as the whole overall flavor depending on what I__m making and who I__m making it for. 
 
 Engaging- If I__m with someone, I like to invite them into the experience even from the point of purchasing/choosing the cheese to experiment with and preparing the dish.
 
 Enriching- I get to learn something new and add on to knowledge I have obtained from these experiences.",3.5
"delicious: combining the cheese with the sauce was necessary to bring out all the flavors to the pasta. 
 warmth: the dish filled me up with warmth and love
 happiness: great date night and great food that made me happy",2.5
"As I just said, I don__t dislike ___fake__ cheese. My best friend is super lactose intolerant, so she always makes dishes with Veggie Shreds and I don__t mind them! (Although I have to say certain brands taste and texture don__t sit well with me - cough cough Daiya.)",2
"Yes! I am open to plant-based cheese but as a cheese snob, it has to be done right.",1.5
"Yes- In this realm, leaps and bounds have been made. I do use plant-based cheese for Pizza, Lasagna, Tacos, Nachos and Enchiladas. My favorite brand is Chao by Field Roast. It melts amazingly well and when I make these dishes, people often cannot tell something is different.",3
Yes; I__ve had it at vegan restaurants and it was phenomenal and I have put it on my agenda to incorporate it into my own dishes. I would like to do more research on which ones I would like to my taste and start to utilize it in the kitchen.,2
I have never tried it and did not know it existed. I would be curious to try this and see if they fulfill the warmth and love that a normal cheese has,2
Hello. I__m Sophie. I meditated this morning so the week is off to a great start and I__m always happy when I do it. ______,2
"I live between Australia, UK and the rest of the world (endless summer!) and own and operate a few businesses in the tourism and real estate industries. I guess I am a nomad but I do have pets, cars and houses in both countries. I outsource most of my life so I can live this lifestyle. I also act and model when the stars align and I am in the right country at the right time.",3.5
"Hi! My name is Susan and I am a jewelry designer, hand model, and editor. I used to live and work in NYC but have been living in Paris, France for the past year. I am working in jewelry here in Paris while I complete a masters program and am enjoying my time in Europe.",2.5
Hi! I work in experiential entertainment and marketing. I recently fell into a virtual reality rabbit hole and have been coming back up for IRL air. I like to work out creative problems while mountain biking and trail running.,3
"Quality, intuitive, creativity. 
 I always start with quality... looking at the ingredients, if it__s organic, sugar content etc. Intuitive because that__s how I approach eating. I check in with my body and see how it feels like eating for the moment and don__t follow any strict rules. There__s a sense of calm and equilibrium since I__ve been eating this way. Creativity, as I__m adventurous and like expansive experiences... I love to try new flavors, interesting combos, challenging new ideas/dishes hence I__m a total foodie and constantly trying new restaurants, products that intrigue me.",2.5
Fuel treat fun,2
"Balance - I believe that my approach to food is really all about balance. If I eat badly for lunch, I try and have more sensible dinner. I am constantly counterbalancing or trying to ""even out"" what I eat. I also think it is important to eat a bit of everything so balance for me also means not eating too much of just one food group. Variety is essential and so is not overdoing any one food group. 
 
 No restrictions - The second I feel ""limited"" or ""restricted"" I tend to rebel and want to have whatever is off limits. Thus diets and restrictive eating really do not work for me. I do a million times better with an approach that is more like ""I just want to make healthy choices today"" rather than specifically saying ""no sugar, no carbs, no blah blah."" I need to feel free and like I have options, that helps me make better choices because I can eat what I want but I do so in moderation or try to counterbalance later. Maybe I lack willpower but I am much happier controlling myself rather than restricting myself. 
 
 Common sense - I think I try and approach food in a way that is pretty normal. I try listen to my body, if I am really craving something, I indulge a little bit rather than repress that desire and end up freaking out and over eating. Moderation really keeps me satisfied because I can really have whatever I want. I just try and approach food in a way that makes sense for me. I don't overly research health and nutrition but I do care about it and think its important. So I try and eat a well rounded diet and avoid overly processed foods, common sense!",4
"Healthy, grazing, measured",2
"I__ve started cooking a shanghai-nese traditional breakfast on the regular recently. A warm bowl of sweet fermented rice, poached eggs, water, sprinkled with dried osmanthus flowers. It feels very nourishing and beautifying to my body. I love how it also connects me to my family (my mom ferments the sweet rice for me) and it makes me think of my grandma as it was her fav breakfast.
 
 Organic celery that I juice first thing in the morning. I drink it on an empty stomach and it__s helped keep my skin clear and bright, helps regulate my bowel movements (I had low thyroid issue so constipation could be an issue before), drinking a vibrant green glass of juice also psychologically makes me feel healthy and that I__m taking good care of myself.",3
"I love coconut water- it gived me energy and keeps me running when I need it. I drink it as a pick me up. It makes me feel refreshed, alive and clean, especially important when exercising and travelling. I also love caffeine- it clears the fog when I am tired and need to be alert. I drink it first thing in the morning and it makes me feel alert- especially important when travelling different timezones. My guilty please is frappucinos. I buy them as a treat when I have worked really hard and have a hectic day. They motivate me, give me something to look forward to and make me feel relaxed and treated.",2.5
"1. Coffee - This is probably not the healthiest because I always take my coffee with a bit of sugar. I buy it to have in the morning and after lunch, I think my coffee breaks are little moments that help break up my day, so I really look forward to them. Coffee makes me feel better and my body really wants it, so I have it. I do also get headaches if I don't have coffee. (This might be addiction haha... but still, it makes me happy so it is important to me.)
 
 2. Yogurt, Granola, and Berry Bowls - I have a variation of this pretty much everyday for breakfast. I love the mix of textures and it gives me enough energy to get me going in the morning. This makes me feel good because it isn't too heavy but it is filling because sometimes I add oats or chia seeds. I buy it because I feel like it is a healthy and balanced breakfast, it has a bit of protein, fruit, sugars, and carbs. 
 
 3. Veggie Pasta - This is one of my go to dinner/lunch meals. It is super easy and quick but also very tasty and I just throw in whatever vegetables I have. I mostly use onions, zucchini, and eggplant but will throw in things like mushrooms, peppers, carrots, etc. I love vegetables and I really enjoy cooking them. This meal makes me feel full but not guilty about what I have eaten. I think its a good way to get in a lot of vegetables in one meal.",2.5
"Turmeric lattes (w/coconut milk). My PT recommended Tumeric for inflamation so I started mixing it into smoothies. Then I found out some cafes were serving it as a latte (though one or two do it with espresso which I do not want). It's usually my mid to late afternoon tasty boost. Hard to tell what the turmeric is doing but I like it's earthy flavor which helps me feel grounded. 
 
 Good ol' H20. Straight from the faucet. follows me around in my reusable water bottles. At my home office I often create a lift-me-up with crushed ice, a splash of grapefruit juice and a drop of rosemary oil. water makes me feel energetic and clean. I like to pee clear. 
 
 Bananas (and almonds). easy. filling. brings out my inner monkey squirrel (ready to tackle the day in the morning).",3.5
"Hmmm... I suppose it__s a consideration in the back of my mind but I don__t specifically shop for a certain quantity or consciously think to myself I need a certain portion for the day. Usually I will consume mostly seafood if I__m making food for myself and that__s my protein (sardines, tuna). And when I dine out that__s when I__ll eat meat and get my animal proteins. Plant proteins happen organically thru the nut milks I drink or let__s say when I__m eating a chia pudding.",2
"I never really think of what I eat. I trust my body to tell me what it needs. On reflection, I do crave protein on a daily basis. I tend to crave chickpeas, tofu, cheese, eggs and lentils a lot. I was vegan for a while but now reverted back to being vegetarian as my body craves eggs and protein shakes. I have eggs most days for breakfast and a protein shake every other day.",2.5
"I do not overly focus on protein but I do try to eat things like yogurt or eggs here and there because I do not tend to eat a lot of meat. I am not vegetarian but I do not like to cook meat. I definitely avoid cooking typical proteins and tend to make things with chickpeas, beans, or buy things with tofu. I do not use any protein powders or supplements and I do eat meat or fish from time to time.",2.5
"I have a very intuitive approach to protein. I can just feel when I crave it and I will usually eat nuts, tofu, chicken, eggs, fish. I don't eat red meat too often. It's just a part of my usual diet but doesn't require much thought.",2
"I__ve noticed recently a lot of beautifying drinks lately (like the brand dirty lemon). Enriched with collagen, retinol, rose water, matcha... etc. 
 And an array of snacks with CBD ingredients.",2.5
"I went for a drive to Dungeness and saw a plant growing at the beach that looked a lot like kale. I stole one (it's a nature reserve- woops) and I am now growing the plant. My boyfriend told me it is sea kale. It is a really amazing plant. Much stronger in taste then kale, really hard to get hold of (noone sells it) and it is super healthy. It boosts your immune system, aids digestion and is packed with vitamin c.",3.5
"I saw a video on BBC called ""Can tech create a more planet friendly burger?"" and it is all about replicating meat from plants or lab grown meats from real animal cells. The lab grown meat sounds kind of gross and is at this point unaffordable so I doubt it will be on the market soon. But the idea is interesting and I think connecting how/what we eat to its impact on the planet and environment is really important. In general people are becoming more and more concerned with sustainability, but for me, at least because I work in the fashion industry, I see it most connected to consumer goods. I feel like people forget that what you eat also contributes to these issues and it is noteworthy that companies are starting to look for alternatives and ways to reduce their negative effects on the environment.",4
"It's not new but I've been reading up more about and experimenting with cacao. I guess the last ""new"" thing I saw was ""craft"" mushrooms. There is a pop-up in St. Paul, Minnesota what creates mushrooms right in their storefront. They also educate consumers on the benefits of all sorts of kinds of mushrooms. https://www.forest-fork.com",2.5
"Food is probably the subject I talk and think about more than any other. At its most basic level, it is needed for survival but it is also something that can be fun to learn about, make and eat and I use it as a way to show love to friends family and colleagues. I think it is a great way to bring people together. In terms of well-being, I think food and drink play a big part. I do basically no exercise, so I maintain my weight through what I eat. Furthermore, I__m a firm believer in that all food should be good for either the body or the soul (or ideally both). So there is nothing wrong with a piece of cake every so often if it brings you joy!",2.5
"Food is about nutrition __¡° which for me means breaking decades of bad habits, misinformation and brainwashing about what good food is. It's also about ethics __¡° sustainably sourcing our food and reducing the harm on animals and the environment. 
 
 I think the way I approach food is intersectional between my anti-capitalist, environmentalist, and wellness leanings.",2.5
"A good day is a good food day ____. But I actually did say that at the weekend when I'd had homemade buchteln for breakfast, pancakes at the park and a roast chicken cooked a new way which was awesome. 
 We try to eat well which for me means: in moderation, fresh fruit and veg, as little processed food as possible. Life is busy so I don't sweat it if there is the takeaway or oven meal thrown in there occasionally. I have my own luxuries/must haves: Fruit juice for breakfast, good coffee, different fruit each week and always vinaigrette on salad.",2.5
"I am a foodie and always have been. I've been raised to appreciate a wide variety of good quality, healthy foods and never shy away from trying something new or unusual. I believe that food is an integral part to my wellbeing, if I eat poorly I feel it in my body but it also brings down my mood. I know for certain that if I have healthy, exciting foods on hand when busy or stressed then it makes me able to tackle my problems better, I would even go as far as to say I think about my next meal in order to distract myself, perhaps too much, from the tasks at hand! Having now also had my first child in November last year, having quick and easy options to keep me fuelled and nourished is even more important. I have really realised the need for healthy food choices when dealing with a baby and always being 'on call' as a mum.",3
"We love our food and drink! Quality & the impact they have on our environment is important to us. We get a lot of pleasure from food & drink, it brings us together as a family and we enjoy sharing. While we love to indulge we also like to make sure most of what we eat is healthy",2
"I LOVE food. It is so so important to me. Connecting with process and flavour and taste matters to me. Food I have made from scratch- veggies and products locally sourced places makes me feel nourished and like i'm respecting my body and the plant which makes me feel connected. They joy I feel eating my own home-baked bread is so much more than when something is shop bought. I think it means I spend a lot of time thinking about any buying food, alongside wanting to learn more processes. For me food is at the heart of community and connection. We eat together most nights, taking it in turns to cook. It is ritual and core to our living together.",3
I recently tried Off the Eaten Path rice and pea sea salt crisps. I was having a BBQ with family and wanted something a bit different than just basic crisps. Initially I was drawn to it as it came in a cardboard box not plastic bag like all the others on the shelf. And the brand name made me laugh. I bought it because they looked to be made of natural ingredients and less greasy than even the fancier crisp brands.,3
"Beyond Meat. Obviously they're not that new but I'd never tried them before. All of their food is amazingly high quality, so I keep going back to them even though I don't know everything about their ethics or sustainability.",2
Flawsome. My daughter loves that it is made from discarded fruit that may otherwise go to waste. It was a little pricier but thought we'd give it a go as a treat as part of a takeaway.,2
"Tonys Chocoloney has really caught my attention recently. Not only is the chocolate itself delicious, but the branding is modern, eye-catching and has such a fun attitude even though the message and ethos of the brand is impactful regarding ending slavery in the cocoa trade. I also love how many flavour varieties they have and that they're branching out into vegan options too - good dairy free chocolate is hard to come by in the supermarkets!",2.5
"I recently bought Little Moons Mochi balls, after the packaging really caught my eye; it was colourful, well labelled, boasted that it was V & GF and the photos of the mochi balls looked great too! They looked indulgent but at the same time looked like a pretty healthy treat (dairy free, Gluten free and 81 calories per mochi ball). The kids and I love them",2.5
Rubies in the Rubble- amazing use of products that would be waste- their chutney's and mayo's are DELICIOUS and they are a B-Corp. Environmentally and socially conscious which is a combo I am looking for if purchasing.,2
"Long term pescatarian, keen baker, owner of MANY cookbooks and a great sourdough starter called Gloria.",2.5
"I work in the psychedelic sector so I see a lot of New Age practitioners selling ""superfoods"" or herbal supplements, a lot of which is based on bunk science. I'm interested in finding foods that are genuinely effective as well as ethical, and don't rely on slick marketing or a wealthy PR department.",2
We have a dog called Otto who eats raw food so we try to get the whole family eating healthy and nutritiously!,2.5
"I would just like to add that although I consider myself a 'foodie' and have no qualms about eating dairy, I am trying to reduce it in my diet for both health and environmental reasons. I have recently switched to oat milk in my cereal for instance because I love the taste more than cows milk and I also get the benefit of it encouraging milk supply for breastfeeding.",1.5
"No one in our family has any food allergies/intolerances and dairy free/gluten free products always used to seem like a really poor substitute, and I was thankful I didn__t have to have them. In the past few years I__ve been pleasantly surprised by how much things have come on and now I__ll often choose these options because they taste better. I__m excited to give anything a try, especially if it__s healthier/more sustainable",2
"I spent the last year living in an eco-community in Scotland- i was the main cook- we ate all veggies from the garden (which meant a month of parsnips in the winter haha) but it has significantly changed my relationship to food for the better- connecting me so much more and making me really think about food.I'm a bit obsessed with bread and jam making- one day I want to run a social enterprise with young people making bread and jam, maybe have a cafe with some chickens for eggs too! I've started growing my own food and heard someone say that growing your own food it the ultimate act of anarchy which i kind of loved....for me it a connecting, spiritual way to live thatI have just uncovered and am new in my journey with it and need to balance it with working 9-5, but food and cooking and baking and growing are all ultimate therapy for me.",3
"Someone who__s conscious, aware, has a rapport with their soul, kind, wise, self-loved",2
"To me, ""inside out beauty"" means taking care of one's body at the skin (""out"") level via moisture maintenance + general physical upkeep, as well as the ""inside"" via healthy eating, regular exercise, and mental health exercises. With the technology available to all at designated price points today, it's all too possible to fake a beautiful appearance on the outside through the use of surgical procedures and fillers, and I would imagine ""inside out beauty"" to mean a more holistic beauty that encompasses the realm beyond the level that people see on the outside.",3
When I hear this concept I think of the person within. How they feel about themselves and how they project themselves onto others.,1.5
"I am mindful of what I put my attention on/watch/consume/allow into my field. I__m constantly learning new wisdoms, ideas that empower and expand my consciousness and empowerment. I understand our quantum creative powers so I intentionally practice positive affirmations, visualizations in terms of embodying the feeling of radiance when I drink my morning celery juice.",2.5
"One ""inside out"" thing I picked up on in the new year is meditation and mindfulness in general. I was born and raised in a city environment, and my day to day is always rushed and varying degrees of stressful. The fast-paced environment has shaped me into a person who's always thinking and worried to some extent. I picked up physical exercise and running a few years ago, and while this has quelled my restlessness to some extent (with the added bonus of physical fitness), I did find myself more fit on the outside than inside. I recently began to meditate every day so as to be more mindful of my surroundings and not get lost in the rush of the day to day, and I think this translates on the outside when I'm not as wound up as I have been historically.",3
"The latest thing I have noticed about myself is that when my diet consists on non-nutritional foods (specifically sugar), I look, feel and act awful. I am fatigued which can be noticed from my appearance (sluggish, slow moving, bags under the eyes) I get irritable (less patience, short temper), which can be projected onto my family. My self-confidence gets run down which can lead to minor depression spurts. So, I try to make sure that I am eating consistently healthy to alleviate any of these symptoms. 
 I need to drink a lot of water, otherwise, my skin becomes dry and at times if too much sugar is in my system, acne breakouts.
 I try to exercise on a regular basis to keep up my energy levels. If I slack, I find I become more lethargic.",3.5
"As I learn more about the quantum field from Joe Dispenza, Gregg Braden, Bruce Lipton... their teaching have the same message of the power of our feelings/vibrations in creating our dream life. I__ve noticed a lightness of being and feeling less scared and more excited of the unknown/future. I__m also intentionally dialoguing with my body to be vibrantly healthy and radiant.",3
"I was inspired to adopt this recently because mindfulness and meditation has been on rise in popular media, and I was encouraged by some friends in recent months. I had always enjoyed the meditative aspects of yoga (rather than the physical aspects), and I couldn't put my finger on that until I began to meditate. There haven't been dramatic changes yet, but I do find myself recognizing anxious behaviors 50% of the time now. Being able to recognize this behavior allows me to take the necessary actions to solve for it, and this has been very helpful.",2.5
"I have been on a lifestyle change since my first child 8 years ago. It has definitely been a journey and continues. I am forever learning more things about myself, my body and how to care for it. 
 My goal was to be at my best health for my children so I could grow with them and do all the things they love with them and be able to physically keep up with them. 
 I have struggled with weight issues my whole life since I was a teenager. Now, I am at a comfortable place because I understand all the reasons how I got here in the first place. 
 Through a lot of reading and practice I think I have a much better approach at it. Mindset is my number one achievement. It has to start with loving yourself before you can love others. I feel that I am finally at this stage. 
 So, yes, I have a better perspective on what changes I've needed to make for myself and my family. I now know what foods are going to keep me healthy and not falling 'off the wagon' anymore. My weight is less that years before, still not ideal but closer.",3
"Definitely. Being mindful of what I put in my body, superfoods, quality ingredients, how I eat (intermittent fasting), all contribute to overall wellbeing. True beauty comes from a holistic approach.",2
"Definitely. I think dietary choice dictates one's day to day experience. Given that food dictates one's energy levels, regularity, and skin condition, I think dietary choice is of paramount importance as far as inside out beauty is concerned. While good genes can go very far in carrying one's physical appearance, there are foods that can cause the body physical discomfort in many ways, and this is very apparent most of the time.",3
"I think I have already touched on this in the above questions. (I would be repeating myself)
 It most definitely does. All the reasons I noted above. I have now become very aware of how food and lack of exercise can affect my 'inside out beauty"" now that I have made the lifestyle changes.",2.5
I__m currently signed up to Ben Greenfield__s Longevity Effect quest on Mindvalley. It__s all about beauty and longevity and biohacking the body to its optimal levels. He biohacked his biological age down to 20 from his chronological age of 36 and I__m looking forward to implementing the course and see what exciting results I get!,3
"A few years ago, I read an article about how dietary supplements (e.g. vitamins) can be made from seemingly benign but still unregulated or health benefit-unproven products that can cause more damage than good. I think it's important to note things like this because health/wellness is a bigger priority than ever before. With that and the idea that everybody is so eager to ""optimize"" these days, it's all too easy to feel the need to consume supplements without doing the research and mindfully adding it to one's daily regimen.",2.5
"Oh my goodness, so many things!
 
 Superfoods-I had to understand how natural foods were going to help in promoting a healthier lifestyle. My favourites so far - peppermint, hemp hearts and nutritional yeast
 Mindfullness/Meditation - currently practicing through the app of HeadSpace - seeking enlightenment!
 Detox - Wanted an understanding of the safest ways to rid of toxins in the body 
 Essential Oils - ongoing education to reap thesed benefits. I am constantly searching for the best home remedies.",3
"I've got a pair of B&O's that I'm super proud of. The design is slick and not at all overbearing. The sounds quality is high, maybe a bit to soft for my preference but worth it for its ability to make most styles of music render great. Plus, the simplicity of the design fits my preferences. If I had to add another brand in there, it would probably be AiAiAi. The modular nature of the design and the quality of the bass is hard to resist.",2.5
"I'm a fan of over ear headphones because the sound is the most important thing for me. So I would normally choose Sennheiser because of the sound quality. But a big part of headphones being cool is the way they look, and for that other brands like Sony and Beats are doing it better. The WH-H800 h.ear on 2 Mini Wireless Headphones in pale gold look beautiful! And I think wireless is pretty important now.",2.5
"Cool is a matter of context. Apple's AirPods have mainstream credibility and spawned a new category of headphones. AiAiAi have credibility on design and collaborations. Bose noise cancelling headphones are THE travel headphones and popular amongst creatives in offices to screen themselves off. For me personally I like Sennheiser HD-25 II - they are a design classic in the mould of Dieter Rams school of honest design, environmentally friendly due to their serviceability, tough, amazing sound and amazing list of owners. You can customise their look via lots of kits on eBay and other places",3
"The modular AIAIAI ones really catch my eye due to the interchangable system & the cool collaborations they have done with brands such as BrainDead, Ed Banger etc. Being able to put your twist on a pair of headphones in a tasteful way (not bright & tacky) is super cool & not really been done.
 
 I also love the super tech, high performance brands but whether they are cool or not.. the jury is out. (Bose, B+O etc) I am really into sound quality within my price range so always check the likes of WHAT HI-FI to get the best sound for my money while maintaining some level of cool.",3
The Bose noise cancelling headphones. Super pure sound and definitely no other sounds coming through as they are designed for the recording studio. I don__t care much about the optic. More about purity of sound.,2.5
"I can't say I have a brand in mind. Generally I am not a fan of 'eye catching' designs. The simpler the better, with a focus on the tech side. I almost feel as the headphones are an extension of the body, a seamlessly integrated design.",3
"Apples iPhone headphones are awful! They sound tinny and they never fit well in my ears. They don't look terrible, but what's the point if the quality is bad?!",2
"For me it would be the likes of House of Marley, Beats and V-Moda who built a brand on hype rather than product performance. It is also disappointing to see the quality drop in formerly great brands like AKG and Denon. The plastics on the headphones feel cheap and have an unpleasant new plastic smell which you didn't have before. The sound is mediocre at best, using standard designs from their China manufacturing partners rather their own engineering.",2.5
"Even after watching 'The Defiant Ones' Netflix documentary which in part talks to the Apple take over of Beats, how they dreamt up the brand & have 'pushed personal sound' forward.. but for me, they remain tacky, plastic, brand high-jacked (by fakes) over-priced and just all round 'know don't know all that much about music' headphones. All this without even ever trying a pair on, or indeed playing music through them. It's just perception. Celebrity endorsement rarely works for building brand equity, just sales to followers.
 
 Bose, B+O & a few others aren't massively cool but at least they have a certain prestige to them and know what they're talking about. Reputable brands that because they're expensive, they must be good... surely?! Right?
 
 Let's not even taaaaalk about iPhone headphones.",3
Beats by dr.dre. In my opinion they are being hyped but the sound for the price isn__t that good. The bass levels are too high in my opinion. So classical music for example sounds bad. EDM or HipHop sounds great though. Also I__m not the biggest fan of the design. For the price they aren__t worth it. You can get other brands for the same price and way better sound quality.,2.5
I own a pair of B&O H6 in Black and a pair of bass heavy Betron B750 in earphones.,1.5
